ROLE	ID	ORDER	TASK	REPORT_PATH	AUTO_ADVANCE_FROM
AGENT_1	A1_T1	1	Backend runtime hardening	docs/qc-reports/agent-1-runtime-hardening-ready-for-qc.md	APPROVED_FOR_INTEGRATION
AGENT_1	A1_T2	2	MySQL DDL evidence on target DB	docs/qc-reports/agent-1-mysql-ddl-evidence-ready-for-qc.md	APPROVED_FOR_INTEGRATION
AGENT_1	A1_T3	3	Dashboard aggregate snapshot	docs/qc-reports/dashboard-dashboard-aggregate-snapshot-ready-for-qc.md	APPROVED_FOR_INTEGRATION

AGENT_2	A2_T1	1	Job Radar bounded parity	docs/qc-reports/agent-2-job-radar-bounded-parity-ready-for-qc.md	APPROVED_FOR_INTEGRATION
AGENT_2	A2_T2	2	Job Radar post-DDL smoke	docs/qc-reports/agent-2-job-radar-post-ddl-smoke-ready-for-qc.md	APPROVED_FOR_INTEGRATION

AGENT_3	A3_T1	1	Legacy interview billing parity	docs/qc-reports/agent-3-legacy-interview-billing-ready-for-qc.md	APPROVED_FOR_INTEGRATION
AGENT_3	A3_T2	2	Legacy interview followups acknowledgment	docs/qc-reports/agent-3-legacy-interview-followups-ack-ready-for-qc.md	APPROVED_FOR_INTEGRATION

PRODUCT_OWNER	PO_T1	1	Keep board and dashboard current		ACTIVE
PRODUCT_OWNER	PO_T2	2	Force QC intake on READY_FOR_QC slices and keep statuses in sync		ACTIVE
PRODUCT_OWNER	PO_T3	3	Assign next bounded tasks after QC verdicts only		ACTIVE
PRODUCT_OWNER	PO_T4	4	Resolve bottlenecks immediately when any role stalls		ACTIVE
PRODUCT_OWNER	PO_T5	5	Keep tranche plan full so agents never run out of work		ACTIVE

QC	QC_T1	1	Review reports or scan repo risks	docs/qc-reports/qc-active-review-cycle.md	ACTIVE
QC	QC_T2	2	Review all READY_FOR_QC slices with previous-report check	docs/qc-reports/qc-ready-for-qc-intake-cycle.md	ACTIVE
QC	QC_T3	3	Return verdicts and required next actions	docs/qc-reports/qc-verdict-cycle.md	ACTIVE
QC	QC_T4	4	Monitor rework and resubmissions	docs/qc-reports/qc-rework-monitoring-cycle.md	ACTIVE
QC	QC_T5	5	Repo risk sweep when no fresh intake exists	docs/qc-reports/qc-repo-risk-sweep-cycle.md	ACTIVE
