Marketing (ZIP),MultivoHub (product),%,Notes (PDF-short)
AI-Powered Job Search That Actually Works,"AI across jobs, interview, style, assistant, reports, etc.",70%,Subjective headline; broadly true.
"Hero: personalized CVs/cover letters, fit scores, interview AI, data-driven insights","Style Studio, applications fit, Interview Practice, Reports",85%,Matches product scope.
Hero stat: 82% Avg Fit Score,No verified aggregate in product,0%,Needs real study; do not claim.
Hero stat: 3x More Interviews,No verified aggregate in product,0%,Needs real study; do not claim.
Hero stat: 10K+ Active Users,No verified aggregate in product,0%,Needs real data.
"6 interview modes (Behavioral, Technical, HR, Case Study, Language)",InterviewPractice + shared/interview (+ General mode),100%,
"3 difficulty levels (Standard, Stretch, Senior)",standard/stretch/senior in InterviewPractice,70%,Confirm all visible in UI.
Adaptive AI interviewer with personalized questions,adaptiveInterviewer + session flow,85%,
Video recording with real-time camera display,getUserMedia + video preview,100%,
Speech-to-text transcription,POST /api/interview/transcribe,100%,
AI voice responses with text-to-speech,POST /api/interview/tts,100%,
"Per-turn scoring (clarity, confidence, presence)",Scoring in interview flow / backend,80%,Exact trio naming may differ.
STAR method detection (client-side),Client-side STAR checks InterviewPractice,85%,
Full session history with trends,Session history + trends in UI/API,80%,Verify depth vs ZIP.
Coaching plans and adaptive insights,Coaching / adaptive notes in flow,75%,
Interview credential PDF certificates,PDF report / pdfGenerator disclaimer text,40%,Not a formal third-party credential.
Gold Standard answer rewrites,Coaching summaries / rewrites,70%,Label differs in UI.
15 diverse interview questions bank,InterviewWarmup question set,90%,Count may differ; verify.
60-second timer with voice recording,Warmup timer + recording,90%,
Fallback text input if microphone unavailable,Text fallback in Warmup,90%,
Client-side STAR signal detection,Warmup STAR heuristics,85%,
"Filler word detection (um, uh, like)",Warmup filler detection,85%,
Daily streak tracking (localStorage),localStorage streak,100%,
Streak recovery system,Warmup streak recovery if implemented,70%,Verify in InterviewWarmup.
Quantified outcome detection,Outcome regex in Warmup feedback,85%,
Coaching tips per response,Per-response tips,90%,
Response quality labels (Excellent/Good/Developing),Quality labels in Warmup,85%,
Queue-based automatic applications,autoApply router + AutoApplyPage,100%,
"Plan-based weekly limits (Free: 3, Pro: 15, Autopilot: 50)",PLAN_LIMITS weeklyAutoApply,100%,
AI-generated CV + cover letter per application,Auto-apply generation pipeline,90%,
PDF generation and email sending,PDF + SMTP send,100%,
Fit score calculation before sending,Fit before send,90%,
Status tracking (pending → processing → applied),Status machine in auto-apply,100%,
Skip or retry individual applications,Skip/retry in UI,90%,
Email application via SMTP,SMTP from user settings,100%,
"Multi-source job aggregation (Reed, Adzuna, Jooble, Indeed, Gumtree, OpenAI Discovery)",JobsDiscovery + job sources,100%,
AI-driven profile-based job discovery,Profile-scored discovery / jobs router,85%,
Company targets provider,jobSources / targets (verify UI label),50%,
"Kanban-style status tracking (Applied, Screening, Interview, Offer, Rejected, Ghosted)",ApplicationsPipeline; no Ghosted label,60%,Ghosted missing.
Fit score per application,Per-application fit,100%,
AI cover letter generation,generateCoverLetter,100%,
AI CV summary generation,generateCvSummary,100%,
Download CV and cover letter as PDF,PDF download flows,90%,
Review queue for pending actions,ReviewQueue page,100%,
Application logs with full history,applicationLogs / history,90%,
Per-application notes,Notes on applications,90%,
CV snapshot at time of application,Partial / schema-dependent,50%,Confirm DB fields.
Bulk export (CSV/JSON),Reports / export endpoints,90%,
Job session tracking and analytics,jobSessions router + UI,85%,
Application funnel visualization (Applied → Screened → Interview → Offer),ReportsHub funnel,90%,Stage names may differ.
Weekly/monthly statistics,Reports analytics,90%,
Activity heatmap,Not implemented in ReportsHub,0%,Remove from marketing or build.
Average job fit score,Aggregates in reports,85%,
Response rate tracking,Analytics,85%,
Top companies ranking,Reports,85%,
Reports hub with PDF export,ReportsHub PDF,90%,
JSON export capability,JSON export,90%,
Competency gap analysis,SkillsLab,75%,
Skill level visualization,SkillsLab,75%,
Course recommendations per skill,SkillsLab / links,70%,
AI-powered skill gap assessment,Skills engine / AI,75%,
Job Radar - trending skills detection,Different: /job-radar scan vs skills trending,30%,Rename or split messaging.
Hot/Rising/Emerging skill classification,SkillsLab partial,50%,Verify vs ZIP.
